# Synthetic (no-IRF) TCSPC decays at each unfolded fraction step
# Gaussian (folded): R_mean=35.0 Å, sigma=4.0 Å
# WLC (unfolded):    Lc=80.0 Å, Lp=60.0 Å
# tau_D0=4.00 ns, R0=52.0 Å
# Time axis: 256 channels over 25.0 ns
# Columns: time_ns  decay(f=0.00)  decay(f=0.05) ...
time_ns	decay(f=0.00)	decay(f=0.05)	decay(f=0.10)	decay(f=0.15)	decay(f=0.20)	decay(f=0.25)	decay(f=0.30)	decay(f=0.35)	decay(f=0.40)	decay(f=0.45)	decay(f=0.50)	decay(f=0.55)	decay(f=0.60)	decay(f=0.65)	decay(f=0.70)	decay(f=0.75)	decay(f=0.80)	decay(f=0.85)	decay(f=0.90)	decay(f=0.95)	decay(f=1.00)
4.01960784	0.00027575	0.00147664	0.00238964	0.00310719	0.00368598	0.00416271	0.00456220	0.00490180	0.00519405	0.00544820	0.00567124	0.00586857	0.00604438	0.00620201	0.00634414	0.00647296	0.00659024	0.00669747	0.00679590	0.00688655	0.00697033
4.11764706	0.00024704	0.00140631	0.00228765	0.00298033	0.00353906	0.00399927	0.00438490	0.00471274	0.00499485	0.00524019	0.00545551	0.00564600	0.00581571	0.00596788	0.00610508	0.00622943	0.00634265	0.00644617	0.00654118	0.00662869	0.00670956
4.21568627	0.00022154	0.00134050	0.00219121	0.00285980	0.00339910	0.00384331	0.00421554	0.00453198	0.00480428	0.00504109	0.00524892	0.00543279	0.00559660	0.00574348	0.00587591	0.00599594	0.00610522	0.00620514	0.00629685	0.00638132	0.00645938
4.31372549	0.00019887	0.00127883	0.00209988	0.00274517	0.00326568	0.00369440	0.00405366	0.00435906	0.00462188	0.00485044	0.00505102	0.00522847	0.00538658	0.00552834	0.00565616	0.00577200	0.00587747	0.00597391	0.00606242	0.00614395	0.00621928
4.41176471	0.00017869	0.00122093	0.00201331	0.00263606	0.00313838	0.00355213	0.00389884	0.00419358	0.00444721	0.00466779	0.00486137	0.00503262	0.00518521	0.00532201	0.00544537	0.00555716	0.00565895	0.00575202	0.00583744	0.00591612	0.00598883
4.50980392	0.00016071	0.00116648	0.00193114	0.00253210	0.00301685	0.00341613	0.00375070	0.00403513	0.00427989	0.00449275	0.00467956	0.00484482	0.00499207	0.00512408	0.00524312	0.00535101	0.00544924	0.00553905	0.00562148	0.00569741	0.00576757
4.60784314	0.00014466	0.00111520	0.00185307	0.00243298	0.00290075	0.00328604	0.00360889	0.00388336	0.00411954	0.00432494	0.00450521	0.00466468	0.00480677	0.00493416	0.00504903	0.00515314	0.00524793	0.00533459	0.00541413	0.00548740	0.00555511
4.70588235	0.00013033	0.00106684	0.00177883	0.00233841	0.00278977	0.00316155	0.00347308	0.00373792	0.00396583	0.00416402	0.00433797	0.00449185	0.00462895	0.00475188	0.00486272	0.00496318	0.00505464	0.00513826	0.00521502	0.00528572	0.00535105
4.80392157	0.00011752	0.00102116	0.00170817	0.00224811	0.00268363	0.00304236	0.00334296	0.00359851	0.00381841	0.00400966	0.00417749	0.00432598	0.00445827	0.00457688	0.00468383	0.00478076	0.00486902	0.00494971	0.00502377	0.00509199	0.00515502
4.90196078	0.00010606	0.00097797	0.00164085	0.00216183	0.00258207	0.00292820	0.00321825	0.00346482	0.00367701	0.00386153	0.00402348	0.00416675	0.00429439	0.00440884	0.00451204	0.00460556	0.00469072	0.00476858	0.00484004	0.00490586	0.00496668
5.00000000	0.00009579	0.00093708	0.00157668	0.00207936	0.00248483	0.00281881	0.00309867	0.00333658	0.00354132	0.00371936	0.00387562	0.00401386	0.00413702	0.00424745	0.00434702	0.00443726	0.00451942	0.00459455	0.00466350	0.00472701	0.00478570
5.09803922	0.00008658	0.00089832	0.00151545	0.00200048	0.00239171	0.00271395	0.00298398	0.00321353	0.00341108	0.00358287	0.00373364	0.00386702	0.00398586	0.00409241	0.00418848	0.00427555	0.00435483	0.00442731	0.00449384	0.00455512	0.00461175
5.19607843	0.00007832	0.00086154	0.00145700	0.00192498	0.00230247	0.00261340	0.00287395	0.00309543	0.00328604	0.00345180	0.00359727	0.00372596	0.00384063	0.00394343	0.00403613	0.00412015	0.00419664	0.00426658	0.00433077	0.00438990	0.00444453
5.29411765	0.00007089	0.00082661	0.00140116	0.00185271	0.00221694	0.00251695	0.00276834	0.00298205	0.00316596	0.00332590	0.00346626	0.00359044	0.00370107	0.00380027	0.00388972	0.00397078	0.00404458	0.00411207	0.00417400	0.00423105	0.00428377
5.39215686	0.00006422	0.00079340	0.00134778	0.00178348	0.00213492	0.00242439	0.00266696	0.00287317	0.00305062	0.00320494	0.00334038	0.00346020	0.00356695	0.00366266	0.00374897	0.00382718	0.00389840	0.00396351	0.00402327	0.00407832	0.00412919
5.49019608	0.00005821	0.00076181	0.00129673	0.00171713	0.00205624	0.00233556	0.00256962	0.00276859	0.00293981	0.00308872	0.00321940	0.00333501	0.00343802	0.00353037	0.00361365	0.00368912	0.00375783	0.00382066	0.00387833	0.00393144	0.00398052
5.58823529	0.00005281	0.00073172	0.00124788	0.00165354	0.00198075	0.00225027	0.00247611	0.00266811	0.00283333	0.00297701	0.00310311	0.00321466	0.00331405	0.00340317	0.00348352	0.00355635	0.00362265	0.00368328	0.00373892	0.00379017	0.00383753
5.68627451	0.00004793	0.00070305	0.00120111	0.00159255	0.00190829	0.00216836	0.00238629	0.00257155	0.00273098	0.00286962	0.00299130	0.00309895	0.00319485	0.00328084	0.00335838	0.00342865	0.00349263	0.00355113	0.00360482	0.00365428	0.00369998
