# Lifetime spectra at each unfolded fraction
# Gaussian R_mean=35.0 Å, sigma=4.0 Å; WLC Lc=80.0 Å, Lp=60.0 Å
# fraction_unfolded	amplitude	lifetime_ns
0.05000000	0.00000000	0.00000379
0.05000000	0.00000000	0.00000515
0.05000000	0.00000000	0.00000701
0.05000000	0.00000000	0.00000953
0.05000000	0.00000000	0.00001296
0.05000000	0.00000000	0.00001762
0.05000000	0.00000000	0.00002396
0.05000000	0.00000000	0.00003258
0.05000000	0.00000000	0.00004431
0.05000000	0.00000000	0.00006026
0.05000000	0.00000000	0.00008195
0.05000000	0.00000000	0.00011144
0.05000000	0.00000000	0.00015155
0.05000000	0.00000000	0.00020609
0.05000000	0.00000000	0.00028027
0.05000000	0.00000000	0.00038113
0.05000000	0.00000001	0.00051829
0.05000000	0.00000002	0.00070479
0.05000000	0.00000004	0.00095840
0.05000000	0.00000011	0.00130323
0.05000000	0.00000028	0.00177208
0.05000000	0.00000072	0.00240949
0.05000000	0.00000189	0.00327600
0.05000000	0.00000503	0.00445377
0.05000000	0.00001339	0.00605433
0.05000000	0.00003566	0.00822890
0.05000000	0.00009436	0.01118233
0.05000000	0.00024640	0.01519175
0.05000000	0.00063024	0.02063131
0.05000000	0.00156528	0.02800487
0.05000000	0.00373697	0.03798856
0.05000000	0.00847806	0.05148528
0.05000000	0.01803949	0.06969281
0.05000000	0.03546620	0.09418577
0.05000000	0.06334273	0.12700841
0.05000000	0.10081187	0.17076925
0.05000000	0.13989286	0.22871750
0.05000000	0.16513911	0.30476469
0.05000000	0.16128614	0.40339249
0.05000000	0.12630466	0.52936573
0.05000000	0.07655629	0.68716232
0.05000000	0.03451665	0.88006846
0.05000000	0.01107063	1.10900028
0.05000000	0.00240236	1.37130906
0.05000000	0.00033342	1.66003533
0.05000000	0.00002779	1.96413013
0.05000000	0.00000130	2.26989307
0.05000000	0.00000003	2.56332399
0.05000000	0.00000000	2.83258347
0.05000000	0.00000000	3.06969371
0.05000000	0.00000000	3.27103882
0.05000000	0.00000000	3.43680211
0.05000000	0.00000000	3.56982850
0.05000000	0.00000000	3.67441095
0.05000000	0.00000000	3.75531030
0.05000000	0.00000000	3.81710905
0.05000000	0.00000000	3.86386573
0.05000000	0.00000000	3.89898525
0.05000000	0.00000000	3.92522008
0.05000000	0.00000000	3.94473795
0.05000000	0.00000000	3.95921452
0.05000000	0.00000000	3.96992768
0.05000000	0.00000000	3.97784255
0.05000000	0.00000000	3.98368284
0.05000000	0.00000000	4.00000000
0.05000000	0.00007212	0.00000000
0.05000000	0.00007216	0.00000000
0.05000000	0.00007220	0.00000000
0.05000000	0.00007225	0.00000000
0.05000000	0.00007230	0.00000000
0.05000000	0.00007236	0.00000000
0.05000000	0.00007242	0.00000000
0.05000000	0.00007249	0.00000000
0.05000000	0.00007257	0.00000000
0.05000000	0.00007266	0.00000000
0.05000000	0.00007275	0.00000000
0.05000000	0.00007286	0.00000001
0.05000000	0.00007298	0.00000001
0.05000000	0.00007311	0.00000001
0.05000000	0.00007326	0.00000001
0.05000000	0.00007342	0.00000002
0.05000000	0.00007360	0.00000003
0.05000000	0.00007380	0.00000004
0.05000000	0.00007402	0.00000005
0.05000000	0.00007426	0.00000007
0.05000000	0.00007453	0.00000009
0.05000000	0.00007484	0.00000013
0.05000000	0.00007517	0.00000018
0.05000000	0.00007554	0.00000024
0.05000000	0.00007595	0.00000032
0.05000000	0.00007641	0.00000044
0.05000000	0.00007691	0.00000060
0.05000000	0.00007748	0.00000081
0.05000000	0.00007810	0.00000111
0.05000000	0.00007880	0.00000151
0.05000000	0.00007957	0.00000205
0.05000000	0.00008043	0.00000279
0.05000000	0.00008138	0.00000379
0.05000000	0.00008244	0.00000515
0.05000000	0.00008363	0.00000701
0.05000000	0.00008494	0.00000953
0.05000000	0.00008641	0.00001296
0.05000000	0.00008804	0.00001762
0.05000000	0.00008987	0.00002396
0.05000000	0.00009190	0.00003258
0.05000000	0.00009418	0.00004431
0.05000000	0.00009672	0.00006026
0.05000000	0.00009957	0.00008195
0.05000000	0.00010276	0.00011144
0.05000000	0.00010634	0.00015155
0.05000000	0.00011035	0.00020609
0.05000000	0.00011487	0.00028027
0.05000000	0.00011995	0.00038113
0.05000000	0.00012569	0.00051829
0.05000000	0.00013217	0.00070479
0.05000000	0.00013950	0.00095840
0.05000000	0.00014781	0.00130323
0.05000000	0.00015726	0.00177208
0.05000000	0.00016801	0.00240949
0.05000000	0.00018029	0.00327600
0.05000000	0.00019434	0.00445377
0.05000000	0.00021046	0.00605433
0.05000000	0.00022901	0.00822890
0.05000000	0.00025042	0.01118233
0.05000000	0.00027521	0.01519175
0.05000000	0.00030401	0.02063131
0.05000000	0.00033757	0.02800487
0.05000000	0.00037683	0.03798856
0.05000000	0.00042290	0.05148528
0.05000000	0.00047718	0.06969281
0.05000000	0.00054136	0.09418577
0.05000000	0.00061750	0.12700841
0.05000000	0.00070816	0.17076925
0.05000000	0.00081644	0.22871750
0.05000000	0.00094614	0.30476469
0.05000000	0.00110184	0.40339249
0.05000000	0.00128897	0.52936573
0.05000000	0.00151388	0.68716232
0.05000000	0.00178357	0.88006846
0.05000000	0.00210514	1.10900028
0.05000000	0.00248435	1.37130906
0.05000000	0.00292243	1.66003533
0.05000000	0.00340978	1.96413013
0.05000000	0.00391357	2.26989307
0.05000000	0.00435523	2.56332399
0.05000000	0.00457472	2.83258347
0.05000000	0.00429503	3.06969371
