# FRET lines for multiple WLC (unfolded) configurations
# Gaussian (folded): R_mean=35.0 Å, sigma=4.0 Å
# tau_D0=4.00 ns, R0=52.0 Å, kappa2=0.66667
#
# Lp_A	Lc_A	fraction_unfolded	E_FRET	tau_species_avg_ns
80.0	80.0	0.300000	0.753251	0.986995
80.0	80.0	0.350000	0.727210	1.091159
80.0	80.0	0.400000	0.701169	1.195322
80.0	80.0	0.450000	0.675129	1.299486
80.0	80.0	0.500000	0.649088	1.403650
80.0	80.0	0.550000	0.623047	1.507813
80.0	80.0	0.600000	0.597006	1.611977
80.0	80.0	0.650000	0.570965	1.716140
80.0	80.0	0.700000	0.544924	1.820304
80.0	80.0	0.750000	0.518883	1.924468
80.0	80.0	0.800000	0.492842	2.028631
80.0	80.0	0.850000	0.466801	2.132795
80.0	80.0	0.900000	0.440760	2.236959
80.0	80.0	0.950000	0.414719	2.341122
80.0	80.0	1.000000	0.388679	2.445286
80.0	100.0	0.000000	0.909497	0.362013
80.0	100.0	0.050000	0.881052	0.475792
80.0	100.0	0.100000	0.852607	0.589571
80.0	100.0	0.150000	0.824163	0.703349
80.0	100.0	0.200000	0.795718	0.817128
80.0	100.0	0.250000	0.767273	0.930906
80.0	100.0	0.300000	0.738829	1.044685
80.0	100.0	0.350000	0.710384	1.158464
80.0	100.0	0.400000	0.681939	1.272242
80.0	100.0	0.450000	0.653495	1.386021
80.0	100.0	0.500000	0.625050	1.499799
80.0	100.0	0.550000	0.596605	1.613578
80.0	100.0	0.600000	0.568161	1.727357
80.0	100.0	0.650000	0.539716	1.841135
80.0	100.0	0.700000	0.511272	1.954914
80.0	100.0	0.750000	0.482827	2.068693
80.0	100.0	0.800000	0.454382	2.182471
80.0	100.0	0.850000	0.425938	2.296250
80.0	100.0	0.900000	0.397493	2.410028
80.0	100.0	0.950000	0.369048	2.523807
80.0	100.0	1.000000	0.340604	2.637586
80.0	120.0	0.000000	0.909497	0.362013
80.0	120.0	0.050000	0.884431	0.462276
80.0	120.0	0.100000	0.859365	0.562538
80.0	120.0	0.150000	0.834300	0.662801
80.0	120.0	0.200000	0.809234	0.763063
80.0	120.0	0.250000	0.784169	0.863326
80.0	120.0	0.300000	0.759103	0.963588
80.0	120.0	0.350000	0.734037	1.063850
80.0	120.0	0.400000	0.708972	1.164113
80.0	120.0	0.450000	0.683906	1.264375
80.0	120.0	0.500000	0.658841	1.364638
80.0	120.0	0.550000	0.633775	1.464900
80.0	120.0	0.600000	0.608709	1.565163
80.0	120.0	0.650000	0.583644	1.665425
80.0	120.0	0.700000	0.558578	1.765688
80.0	120.0	0.750000	0.533513	1.865950
80.0	120.0	0.800000	0.508447	1.966212
80.0	120.0	0.850000	0.483381	2.066475
80.0	120.0	0.900000	0.458316	2.166737
80.0	120.0	0.950000	0.433250	2.267000
80.0	120.0	1.000000	0.408184	2.367262
100.0	60.0	0.000000	0.909497	0.362013
100.0	60.0	0.050000	0.891808	0.432769
100.0	60.0	0.100000	0.874119	0.503525
100.0	60.0	0.150000	0.856430	0.574280
100.0	60.0	0.200000	0.838741	0.645036
100.0	60.0	0.250000	0.821052	0.715791
100.0	60.0	0.300000	0.803363	0.786547
100.0	60.0	0.350000	0.785674	0.857303
100.0	60.0	0.400000	0.767985	0.928058
100.0	60.0	0.450000	0.750297	0.998814
100.0	60.0	0.500000	0.732608	1.069569
100.0	60.0	0.550000	0.714919	1.140325
100.0	60.0	0.600000	0.697230	1.211081
100.0	60.0	0.650000	0.679541	1.281836
100.0	60.0	0.700000	0.661852	1.352592
100.0	60.0	0.750000	0.644163	1.423348
100.0	60.0	0.800000	0.626474	1.494103
100.0	60.0	0.850000	0.608785	1.564859
100.0	60.0	0.900000	0.591096	1.635614
100.0	60.0	0.950000	0.573408	1.706370
100.0	60.0	1.000000	0.555719	1.777126
100.0	80.0	0.000000	0.909497	0.362013
100.0	80.0	0.050000	0.878303	0.486790
100.0	80.0	0.100000	0.847109	0.611566
100.0	80.0	0.150000	0.815914	0.736342
100.0	80.0	0.200000	0.784720	0.861118
100.0	80.0	0.250000	0.753526	0.985895
100.0	80.0	0.300000	0.722332	1.110671
100.0	80.0	0.350000	0.691138	1.235447
100.0	80.0	0.400000	0.659944	1.360224
100.0	80.0	0.450000	0.628750	1.485000
100.0	80.0	0.500000	0.597556	1.609776
100.0	80.0	0.550000	0.566362	1.734552
100.0	80.0	0.600000	0.535168	1.859329
100.0	80.0	0.650000	0.503974	1.984105
100.0	80.0	0.700000	0.472780	2.108881
100.0	80.0	0.750000	0.441586	2.233657
100.0	80.0	0.800000	0.410392	2.358434
100.0	80.0	0.850000	0.379198	2.483210
100.0	80.0	0.900000	0.348003	2.607986
100.0	80.0	0.950000	0.316809	2.732762
100.0	80.0	1.000000	0.285615	2.857539
100.0	100.0	0.000000	0.909497	0.362013
100.0	100.0	0.050000	0.873729	0.505084
100.0	100.0	0.100000	0.837961	0.648155
100.0	100.0	0.150000	0.802194	0.791226
100.0	100.0	0.200000	0.766426	0.934297
100.0	100.0	0.250000	0.730658	1.077367
100.0	100.0	0.300000	0.694890	1.220438
100.0	100.0	0.350000	0.659123	1.363509
100.0	100.0	0.400000	0.623355	1.506580
100.0	100.0	0.450000	0.587587	1.649651
100.0	100.0	0.500000	0.551820	1.792721
100.0	100.0	0.550000	0.516052	1.935792
100.0	100.0	0.600000	0.480284	2.078863
100.0	100.0	0.650000	0.444517	2.221934
100.0	100.0	0.700000	0.408749	2.365005
100.0	100.0	0.750000	0.372981	2.508075
100.0	100.0	0.800000	0.337213	2.651146
100.0	100.0	0.850000	0.301446	2.794217
100.0	100.0	0.900000	0.265678	2.937288
100.0	100.0	0.950000	0.229910	3.080358
100.0	100.0	1.000000	0.194143	3.223429
100.0	120.0	0.000000	0.909497	0.362013
100.0	120.0	0.050000	0.874158	0.503367
100.0	120.0	0.100000	0.838820	0.644720
100.0	120.0	0.150000	0.803482	0.786073
100.0	120.0	0.200000	0.768144	0.927426
100.0	120.0	0.250000	0.732805	1.068779
100.0	120.0	0.300000	0.697467	1.210132
100.0	120.0	0.350000	0.662129	1.351485
100.0	120.0	0.400000	0.626790	1.492839
100.0	120.0	0.450000	0.591452	1.634192
100.0	120.0	0.500000	0.556114	1.775545
100.0	120.0	0.550000	0.520775	1.916898
100.0	120.0	0.600000	0.485437	2.058251
100.0	120.0	0.650000	0.450099	2.199604
100.0	120.0	0.700000	0.414761	2.340958
100.0	120.0	0.750000	0.379422	2.482311
100.0	120.0	0.800000	0.344084	2.623664
100.0	120.0	0.850000	0.308746	2.765017
100.0	120.0	0.900000	0.273407	2.906370
100.0	120.0	0.950000	0.238069	3.047723
100.0	120.0	1.000000	0.202731	3.189076
