2.256	5
2.264	3
2.272	3
2.28	2
2.288	6
2.296	2
2.304	4
2.312	10
2.32	5
2.328	6
2.336	4
2.344	5
2.352	4
2.36	6
2.368	7
2.376	4
2.384	8
2.392	6
2.4	3
2.408	3
2.416	5
2.424	6
2.432	7
2.44	6
2.448	10
2.456	7
2.464	4
2.472	2
2.48	4
2.488	4
2.496	7
2.504	6
2.512	6
2.52	1
2.528	4
2.536	3
2.544	8
2.552	5
2.56	7
2.568	6
2.576	4
2.584	5
2.592	8
2.6	4
2.608	3
2.616	3
2.624	6
2.632	7
2.64	5
2.648	4
2.656	6
2.664	3
2.672	4
2.68	7
2.688	1
2.696	5
2.704	4
2.712	5
2.72	2
2.728	5
2.736	10
2.744	8
2.752	6
2.76	9
2.768	1
2.776	7
2.784	4
2.792	9
2.8	3
2.808	3
2.816	7
2.824	3
2.832	10
2.84	5
2.848	7
2.856	8
2.864	1
2.872	7
2.88	2
2.888	4
2.896	3
2.904	6
2.912	4
2.92	4
2.928	3
2.936	3
2.944	6
2.952	10
2.96	7
2.968	8
2.976	6
2.984	2
2.992	5
3	4
3.008	3
3.016	3
3.024	8
3.032	5
3.04	8
3.048	6
3.056	6
3.064	4
3.072	4
3.08	6
3.088	4
3.096	6
3.104	1
3.112	6
3.12	2
3.128	11
3.136	2
3.144	6
3.152	3
3.16	4
3.168	10
3.176	2
3.184	5
3.192	8
3.2	7
3.208	4
3.216	4
3.224	6
3.232	4
3.24	1
3.248	4
3.256	2
3.264	6
3.272	2
3.28	3
3.288	6
3.296	2
3.304	4
3.312	6
3.32	7
3.328	6
3.336	3
3.344	4
3.352	4
3.36	6
3.368	1
3.376	11
3.384	12
3.392	5
3.4	3
3.408	7
3.416	3
3.424	5
3.432	6
3.44	5
3.448	8
3.456	7
3.464	4
3.472	9
3.48	5
3.488	4
3.496	4
3.504	5
3.512	5
3.52	5
3.528	4
3.536	3
3.544	3
3.552	5
3.56	8
3.568	8
3.576	6
3.584	5
3.592	6
3.6	9
3.608	2
3.616	3
3.624	4
3.632	4
3.64	6
3.648	6
3.656	8
3.664	7
3.672	5
3.68	3
3.688	4
3.696	8
3.704	7
3.712	5
3.72	3
3.728	4
3.736	4
3.744	3
3.752	1
3.76	4
3.768	4
3.776	4
3.784	4
3.792	9
3.8	7
3.808	4
3.816	6
3.824	12
3.832	8
3.84	4
3.848	2
3.856	5
3.864	6
3.872	5
3.88	6
3.888	5
3.896	4
3.904	11
3.912	5
3.92	1
3.928	6
3.936	2
3.944	9
3.952	2
3.96	4
3.968	8
3.976	1
3.984	5
3.992	4
4	6
4.008	4
4.016	5
4.024	4
4.032	4
4.04	5
4.048	4
4.056	12
4.064	4
4.072	1
4.08	8
4.088	5
4.096	5
4.104	4
4.112	5
4.12	8
4.128	1
4.136	6
4.144	4
4.152	9
4.16	6
4.168	4
4.176	2
4.184	6
4.192	8
4.2	6
4.208	8
4.216	5
4.224	5
4.232	3
4.24	6
4.248	7
4.256	3
4.264	4
4.272	5
4.28	6
4.288	4
4.296	1
4.304	9
4.312	8
4.32	6
4.328	1
4.336	3
4.344	4
4.352	2
4.36	6
4.368	5
4.376	4
4.384	3
4.392	5
4.4	5
4.408	7
4.416	4
4.424	4
4.432	5
4.44	6
4.448	4
4.456	3
4.464	7
4.472	4
4.48	7
4.488	9
4.496	14
4.504	19
4.512	21
4.52	44
4.528	59
4.536	100
4.544	128
4.552	219
4.56	265
4.568	401
4.576	591
4.584	793
4.592	1107
4.6	1472
4.608	1954
4.616	2513
4.624	3174
4.632	4039
4.64	5183
4.648	6437
4.656	7941
4.664	9517
4.672	11377
4.68	13798
4.688	16070
4.696	18771
4.704	21701
4.712	24894
4.72	28545
4.728	32221
4.736	36062
4.744	40103
4.752	45203
4.76	49288
4.768	54418
4.776	59120
4.784	64614
4.792	69090
4.8	73308
4.808	77491
4.816	80763
4.824	84502
4.832	87326
4.84	88771
4.848	91194
4.856	93228
4.864	94136
4.872	95230
4.88	96810
4.888	97637
4.896	98379
4.904	98965
4.912	98812
4.92	98786
4.928	99661
4.936	99573
4.944	99795
4.952	99496
4.96	99181
4.968	99881
4.976	1e+05
4.984	99702
4.992	99586
5	99069
5.008	99161
5.016	99677
5.024	98727
5.032	98688
5.04	98757
5.048	98062
5.056	97699
5.064	98262
5.072	97479
5.08	96654
5.088	96925
5.096	96667
5.104	96780
5.112	97126
5.12	96529
5.128	96601
5.136	96025
5.144	95095
5.152	95312
5.16	95373
5.168	94400
5.176	94493
5.184	94516
5.192	93802
5.2	93365
5.208	93114
5.216	93559
5.224	92712
5.232	92974
5.24	92353
5.248	92209
5.256	92165
5.264	91547
5.272	91592
5.28	91116
5.288	91198
5.296	90246
5.304	90748
5.312	90702
5.32	90227
5.328	89892
5.336	89996
5.344	89503
5.352	89403
5.36	88795
5.368	88673
5.376	89073
5.384	88408
5.392	88523
5.4	88668
5.408	87838
5.416	87509
5.424	87682
5.432	87140
5.44	87243
5.448	87063
5.456	86603
5.464	86998
5.472	86089
5.48	85890
5.488	85888
5.496	85862
5.504	85637
5.512	85327
5.52	84826
5.528	84857
5.536	84940
5.544	84524
5.552	83613
5.56	84373
5.568	83962
5.576	83684
5.584	83498
5.592	83158
5.6	83148
5.608	82388
5.616	82935
5.624	82556
5.632	81986
5.64	81823
5.648	81695
5.656	81829
5.664	81464
5.672	81469
5.68	81598
5.688	81262
5.696	80769
5.704	80561
5.712	80719
5.72	80207
5.728	80106
5.736	79922
5.744	79479
5.752	79071
5.76	79743
5.768	79330
5.776	79153
5.784	79321
5.792	78852
5.8	78317
5.808	78026
5.816	78204
5.824	77629
5.832	77189
5.84	77593
5.848	77342
5.856	77039
5.864	76215
5.872	76517
5.88	76429
5.888	76361
5.896	76505
5.904	75865
5.912	75993
5.92	75843
5.928	75472
5.936	75450
5.944	75473
5.952	75025
5.96	75030
5.968	74593
5.976	74700
5.984	74422
5.992	74362
6	74008
6.008	73692
6.016	73722
6.024	73777
6.032	73532
6.04	73277
6.048	73020
6.056	72444
6.064	72789
6.072	73041
6.08	72250
6.088	72544
6.096	72604
6.104	71766
6.112	71630
6.12	71416
6.128	71390
6.136	71415
6.144	70966
6.152	71507
6.16	71056
6.168	70937
6.176	70572
6.184	70626
6.192	70349
6.2	70659
6.208	69172
6.216	70220
6.224	69718
6.232	69417
6.24	69073
6.248	68981
6.256	69271
6.264	68860
6.272	68769
6.28	68290
6.288	67955
6.296	68379
6.304	68253
6.312	67452
6.32	67366
6.328	67474
6.336	67948
6.344	67088
6.352	67116
6.36	67159
6.368	66709
6.376	66784
6.384	67002
6.392	66350
6.4	66143
6.408	66101
6.416	65941
6.424	65708
6.432	65944
6.44	65508
6.448	65041
6.456	65157
6.464	65208
6.472	65233
6.48	65242
6.488	65062
6.496	64587
6.504	64066
6.512	63848
6.52	64299
6.528	64151
6.536	64272
6.544	63893
6.552	63736
6.56	63291
6.568	63481
6.576	63156
6.584	62818
6.592	62625
6.6	63023
6.608	62628
6.616	62853
6.624	62542
6.632	62578
6.64	62160
6.648	62252
6.656	61780
6.664	61064
6.672	61944
6.68	61468
6.688	61566
6.696	61534
6.704	61092
6.712	61103
6.72	60523
6.728	60933
6.736	60749
6.744	60424
6.752	60374
6.76	60359
6.768	59702
6.776	59566
6.784	59732
6.792	60080
6.8	59675
6.808	59100
6.816	58698
6.824	59342
6.832	58815
6.84	58596
6.848	58384
6.856	58611
6.864	58845
6.872	58678
6.88	57931
6.888	58083
