d[A]	CH	ON	OH	CN
7.155	8.5856	13.2215	-8.5856	-13.2336
7.165	8.5736	13.2031	-8.5736	-13.2151
7.175	8.5617	13.1847	-8.5617	-13.1966
7.185	8.5498	13.1664	-8.5498	-13.1782
7.195	8.5379	13.1481	-8.5379	-13.1598
7.205	8.526	13.1299	-8.526	-13.1415
7.215	8.5142	13.1117	-8.5142	-13.1232
7.225	8.5024	13.0936	-8.5024	-13.105
7.235	8.4907	13.0756	-8.4907	-13.0869
7.245	8.4789	13.0575	-8.4789	-13.0688
7.255	8.4673	13.0396	-8.4673	-13.0507
7.265	8.4556	13.0217	-8.4556	-13.0327
7.275	8.444	13.0038	-8.444	-13.0147
7.285	8.4324	12.986	-8.4324	-12.9968
7.295	8.4208	12.9682	-8.4208	-12.979
7.305	8.4093	12.9505	-8.4093	-12.9612
7.315	8.3978	12.9328	-8.3978	-12.9434
7.325	8.3863	12.9152	-8.3863	-12.9257
7.335	8.3749	12.8976	-8.3749	-12.908
7.345	8.3635	12.8801	-8.3635	-12.8904
7.355	8.3521	12.8626	-8.3521	-12.8728
7.365	8.3408	12.8451	-8.3408	-12.8553
7.375	8.3295	12.8278	-8.3295	-12.8379
7.385	8.3182	12.8104	-8.3182	-12.8204
7.395	8.307	12.7931	-8.307	-12.8031
7.405	8.2957	12.7759	-8.2957	-12.7857
7.415	8.2846	12.7587	-8.2846	-12.7684
7.425	8.2734	12.7415	-8.2734	-12.7512
7.435	8.2623	12.7244	-8.2623	-12.734
7.445	8.2512	12.7073	-8.2512	-12.7169
7.455	8.2401	12.6903	-8.2401	-12.6998
7.465	8.2291	12.6733	-8.2291	-12.6827
7.475	8.2181	12.6564	-8.2181	-12.6657
7.485	8.2071	12.6395	-8.2071	-12.6488
7.495	8.1961	12.6227	-8.1961	-12.6319
7.505	8.1852	12.6059	-8.1852	-12.615
7.515	8.1743	12.5891	-8.1743	-12.5982
7.525	8.1634	12.5724	-8.1634	-12.5814
7.535	8.1526	12.5558	-8.1526	-12.5647
7.545	8.1418	12.5392	-8.1418	-12.548
7.555	8.131	12.5226	-8.131	-12.5313
7.565	8.1203	12.5061	-8.1203	-12.5147
7.575	8.1096	12.4896	-8.1096	-12.4982
7.585	8.0989	12.4731	-8.0989	-12.4817
7.595	8.0882	12.4567	-8.0882	-12.4652
7.605	8.0776	12.4404	-8.0776	-12.4488
7.615	8.067	12.4241	-8.067	-12.4324
7.625	8.0564	12.4078	-8.0564	-12.4161
7.635	8.0458	12.3916	-8.0458	-12.3998
7.645	8.0353	12.3754	-8.0353	-12.3835
7.655	8.0248	12.3592	-8.0248	-12.3673
7.665	8.0143	12.3431	-8.0143	-12.3512
7.675	8.0039	12.3271	-8.0039	-12.335
7.685	7.9935	12.311	-7.9935	-12.3189
7.695	7.9831	12.2951	-7.9831	-12.3029
7.705	7.9727	12.2791	-7.9727	-12.2869
7.715	7.9624	12.2632	-7.9624	-12.271
7.725	7.9521	12.2474	-7.9521	-12.255
7.735	7.9418	12.2316	-7.9418	-12.2392
7.745	7.9316	12.2158	-7.9316	-12.2233
7.755	7.9213	12.2001	-7.9213	-12.2075
7.765	7.9111	12.1844	-7.9111	-12.1918
7.775	7.901	12.1687	-7.901	-12.1761
7.785	7.8908	12.1531	-7.8908	-12.1604
7.795	7.8807	12.1375	-7.8807	-12.1448
7.805	7.8706	12.122	-7.8706	-12.1292
7.815	7.8605	12.1065	-7.8605	-12.1137
7.825	7.8505	12.0911	-7.8505	-12.0982
7.835	7.8405	12.0756	-7.8405	-12.0827
7.845	7.8305	12.0603	-7.8305	-12.0673
7.855	7.8205	12.0449	-7.8205	-12.0519
7.865	7.8105	12.0296	-7.8105	-12.0365
7.875	7.8006	12.0144	-7.8006	-12.0212
7.885	7.7907	11.9992	-7.7907	-12.0059
7.895	7.7809	11.984	-7.7809	-11.9907
7.905	7.771	11.9688	-7.771	-11.9755
7.915	7.7612	11.9537	-7.7612	-11.9604
7.925	7.7514	11.9387	-7.7514	-11.9452
7.935	7.7416	11.9236	-7.7416	-11.9302
7.945	7.7319	11.9086	-7.7319	-11.9151
7.955	7.7222	11.8937	-7.7222	-11.9001
7.965	7.7125	11.8788	-7.7125	-11.8852
7.975	7.7028	11.8639	-7.7028	-11.8702
7.985	7.6932	11.8491	-7.6932	-11.8553
7.995	7.6835	11.8342	-7.6835	-11.8405
