-179.50000 -135.50000    0.00000    1.00000   -1.67443
-179.50000 -134.50000   -0.64928    1.00000   -1.41716
-179.50000 -133.50000   -0.40965    1.00000   -1.60046
-179.50000 -132.50000    0.00000    1.00000   -1.70821
-179.50000 -131.50000    0.00000    1.00000   -1.74016
-179.50000 -130.50000    0.00000    1.00000   -2.01011
-179.50000 -129.50000   -0.64928    1.00000   -1.55968
-179.50000 -128.50000    0.00000    1.00000   -1.77048
-179.50000 -127.50000    0.00000    1.00000   -1.77048
-179.50000 -126.50000    0.00000    1.00000   -1.51589
-179.50000 -125.50000    0.00000    1.00000   -1.63860
-179.50000 -124.50000    0.00000    1.00000   -1.79931
-179.50000 -123.50000    0.00000    1.00000   -1.77048
-179.50000 -122.50000   -0.81930    1.00000   -1.70821
-179.50000 -121.50000    0.00000    1.00000   -1.74016
-179.50000 -120.50000    0.00000    1.00000   -1.05893
-179.50000 -119.50000    0.00000    1.00000   -1.63860
-179.50000 -118.50000   -0.40965    1.00000   -1.90236
-179.50000 -117.50000    0.00000    1.00000   -1.77048
-179.50000 -116.50000   -0.40965    1.00000   -1.60046
-179.50000 -115.50000    0.00000    1.00000   -1.70821
-179.50000 -114.50000   -0.64928    1.00000   -1.60046
-179.50000 -113.50000    0.00000    1.00000   -1.63860
-179.50000 -112.50000   -0.81930    1.00000   -1.79931
-179.50000 -111.50000   -0.64928    1.00000   -1.63860
-179.50000 -110.50000    0.00000    1.00000   -1.70821
-179.50000 -109.50000    0.00000    1.00000   -1.92554
-179.50000 -108.50000   -0.64928    1.00000   -1.77048
-179.50000 -107.50000   -0.64928    1.00000   -1.63860
-179.50000 -106.50000   -0.40965    1.00000   -1.90236
-179.50000 -105.50000    0.00000    1.00000   -1.77048
-179.50000 -104.50000    0.00000    1.00000   -1.90236
-179.50000 -103.50000   -0.40965    1.00000   -1.90236
-179.50000 -102.50000    0.00000    1.00000   -1.74016
-179.50000 -101.50000   -0.40965    1.00000   -1.94784
-179.50000 -100.50000    0.00000    1.00000   -1.87823
-179.50000  -99.50000   -0.64928    1.00000   -1.87823
-179.50000  -98.50000   -0.95118    1.00000   -2.11786
-179.50000  -97.50000    0.00000    1.00000   -1.74016
-179.50000  -96.50000   -1.05893    1.00000   -1.82681
-179.50000  -95.50000   -1.05893    1.00000   -1.96933
-179.50000  -94.50000   -0.95118    1.00000   -1.92554
-179.50000  -93.50000   -1.15003    1.00000   -2.11786
-179.50000  -92.50000   -1.22895    1.00000   -1.85308
-179.50000  -91.50000   -0.40965    1.00000   -2.02949
-179.50000  -90.50000   -0.40965    1.00000   -2.16516
-179.50000  -89.50000   -1.05893    1.00000   -2.16516
-179.50000  -88.50000   -1.22895    1.00000   -2.18013
-179.50000  -87.50000   -0.95118    1.00000   -2.19472
-179.50000  -86.50000   -1.22895    1.00000   -2.19472
-179.50000  -85.50000   -0.95118    1.00000   -1.96933
-179.50000  -84.50000   -0.40965    1.00000   -2.24974
-179.50000  -83.50000   -1.22895    1.00000   -2.16516
-179.50000  -82.50000   -1.22895    1.00000   -2.11786
-179.50000  -81.50000   -1.15003    1.00000   -2.01011
-179.50000  -80.50000   -1.05893    1.00000   -2.26273
-179.50000  -79.50000   -1.46858    1.00000   -2.14981
-179.50000  -78.50000   -1.22895    1.00000   -2.24974
-179.50000  -77.50000   -1.60046    1.00000   -2.22287
-179.50000  -76.50000   -1.46858    1.00000   -2.01011
-179.50000  -75.50000   -1.51589    1.00000   -2.08408
-179.50000  -74.50000   -1.67443    1.00000   -2.14981
-179.50000  -73.50000   -1.85308    1.00000   -2.10121
-179.50000  -72.50000   -1.46858    1.00000   -2.19472
-179.50000  -71.50000   -1.51589    1.00000   -2.13405
-179.50000  -70.50000   -1.70821    1.00000   -2.06644
-179.50000  -69.50000   -1.60046    1.00000   -2.26273
-179.50000  -68.50000   -1.60046    1.00000   -2.08408
-179.50000  -67.50000   -1.99007    1.00000   -2.06644
-179.50000  -66.50000   -1.87823    1.00000   -1.96933
-179.50000  -65.50000   -1.60046    1.00000   -2.20896
-179.50000  -64.50000   -1.67443    1.00000   -2.02949
-179.50000  -63.50000   -1.90236    1.00000   -2.31201
